id,hotel_name,n_comment,rank_in_country,url,excellent,good,average,poor,terrible
233,b'Moon 23 Hotel',489,b'#233 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1898744-Reviews-Moon_23_Hotel-Singapore.html,47,178,150,58,56
234,b'Hotel 81 Kovan',47,b'#234 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1916206-Reviews-Hotel_81_Kovan-Singapore.html,13,15,16,2,1
235,b'Hotel 81 - Geylang',319,b'#235 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506327-Reviews-Hotel_81_Geylang-Singapore.html,31,100,107,52,29
236,b'Arena Country Club',16,b'#236 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2535002-Reviews-Arena_Country_Club-Singapore.html,2,10,3,0,1
237,b'Amber Hotel',23,b'#237 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1630794-Reviews-Amber_Hotel-Singapore.html,4,12,6,0,1
238,b'Jinshan Hotel',395,b'#238 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1913969-Reviews-Jinshan_Hotel-Singapore.html,34,141,121,50,49
239,b'Hotel 81 Balestier',36,b'#239 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2643131-Reviews-Hotel_81_Balestier-Singapore.html,9,15,7,5,0
240,b'Fragrance Hotel - Classic',59,b'#240 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2005592-Reviews-Fragrance_Hotel_Classic-Singapore.html,9,22,16,7,5
241,b'Hotel 81 Changi',49,b'#241 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11768252-Reviews-Hotel_81_Changi-Singapore.html,9,8,18,9,5
242,b'Hotel 81-Bugis',245,b'#242 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d657516-Reviews-Hotel_81_Bugis-Singapore.html,20,63,95,37,30
243,b'Victoria Hotel',45,b'#243 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12132265-Reviews-Victoria_Hotel-Singapore.html,5,14,16,4,6
244,b'Hotel 81 - Chinatown',281,b'#244 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506324-Reviews-Hotel_81_Chinatown-Singapore.html,22,84,95,39,41
245,b'Hotel Royal',838,b'#245 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1218929-Reviews-Hotel_Royal-Singapore.html,62,282,278,115,101
