id,hotel_name,n_comment,rank_in_country,url
75,b'Hotel Jen Tanglin Singapore by Shangri-La',1183,b'#45 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d302105-Reviews-Hotel_Jen_Tanglin_Singapore_by_Shangri_La-Singapore.html
76,b'Concorde Hotel Singapore',4141,b'#46 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d302514-Reviews-Concorde_Hotel_Singapore-Singapore.html
77,b'Changi Cove',411,b'#47 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5315913-Reviews-Changi_Cove-Singapore.html
78,"b""Shangri-La's Rasa Sentosa Resort & Spa""",4288,b'#48 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d302107-Reviews-Shangri_La_s_Rasa_Sentosa_Resort_Spa-Sentosa_Island.html
79,b'Holiday Inn Express Singapore Orchard Road',1137,b'#49 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4456040-Reviews-Holiday_Inn_Express_Singapore_Orchard_Road-Singapore.html
80,b'W Singapore Sentosa Cove',2438,b'#50 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d3300141-Reviews-W_Singapore_Sentosa_Cove-Sentosa_Island.html
81,b'Four Seasons Hotel Singapore',2373,b'#51 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301897-Reviews-Four_Seasons_Hotel_Singapore-Singapore.html
82,b'Goodwood Park Hotel',2099,b'#52 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301478-Reviews-Goodwood_Park_Hotel-Singapore.html
83,"b""Lloyd's Inn Singapore""",964,b'#53 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d338321-Reviews-Lloyd_s_Inn_Singapore-Singapore.html
84,b'Andaz Singapore',845,b'#54 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12700216-Reviews-Andaz_Singapore-Singapore.html
85,b'Naumi Hotel Singapore',2724,b'#55 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306182-Reviews-Naumi_Hotel_Singapore-Singapore.html
86,b'Carlton City Hotel Singapore',1775,b'#56 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4400778-Reviews-Carlton_City_Hotel_Singapore-Singapore.html
87,b'Oakwood Premier OUE Singapore',120,b'#57 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12318593-Reviews-Oakwood_Premier_OUE_Singapore-Singapore.html
88,b'Quincy Hotel by Far East Hospitality',3513,b'#58 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1235512-Reviews-Quincy_Hotel_by_Far_East_Hospitality-Singapore.html
89,"b'The Ritz-Carlton, Millenia Singapore'",5620,b'#59 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d302231-Reviews-The_Ritz_Carlton_Millenia_Singapore-Singapore.html
90,b'Capella Singapore',1889,b'#60 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d1307604-Reviews-Capella_Singapore-Sentosa_Island.html
91,"b'Four Points by Sheraton Singapore, Riverview'",1049,b'#61 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306107-Reviews-Four_Points_by_Sheraton_Singapore_Riverview-Singapore.html
92,b'Holiday Inn Singapore Atrium',2878,b'#62 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305454-Reviews-Holiday_Inn_Singapore_Atrium-Singapore.html
93,b'Novotel Singapore Clarke Quay',7117,b'#63 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301010-Reviews-Novotel_Singapore_Clarke_Quay-Singapore.html
94,b'Grand Mercure Singapore Roxy',5243,b'#64 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299850-Reviews-Grand_Mercure_Singapore_Roxy-Singapore.html
95,b'Aqueen Heritage Hotel Joo Chiat',203,b'#65 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10113627-Reviews-Aqueen_Heritage_Hotel_Joo_Chiat-Singapore.html
96,b'Novotel Singapore On Stevens',462,b'#66 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12825240-Reviews-Novotel_Singapore_On_Stevens-Singapore.html
97,b'Mercure Singapore On Stevens',283,b'#67 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d13135926-Reviews-Mercure_Singapore_On_Stevens-Singapore.html
